번호,카테고리,이름,본문,이미지
38,이레귤러,THR-212,"THR-212 ｢B9｣ 색인 완료.$$$  뜯겨나간 목덜미 쪽으로 내부가 훤히 보인다. 천천히 돌아가고 있는 톱니바퀴와 기계 부품들이다. 아마 더 안쪽, 붉은 살가죽과 깃털로 덮인 곳 또한 기계로 가득 차 있을 것이다. 그러니까 반대로 ｢B9｣에게서 기계를 모조리 뽑아내고 들여다보면, 그 속은 텅 비어있을 테다. 기계는 마치 내장 같다.$  ｢B9｣는 날지 않는다. 어쩌면 ‘날다’는 정보가 그 기계에 입력되어 있지 않은 것일지도 모른다. 허술하게 이어져있는 모가지를 까딱거리며 무리지어 있는 ｢B9｣에게 가까이 다가가면, 그들은 푸드득 소리를 내며 날아가는 것이 아니라 녹슨 기계음을 내며 뛴다.$  가끔 기름에 절인 모이를 던져준다. 딱히 할 일은 없다.$$-연구원 H의 연구일지",Monster_07
39,이레귤러,THR-709,"THR-251 ｢B99｣ 색인 완료.$$$  사건번호 251-1$  6월 2일 사라졌던 THR-212 ｢B9｣를 찾았고, 우려했던 대로 변이한 모습을 보여 다른 아공간으로 격리시켰다. 접촉했던 이레귤러는 NSW-032 ｢자이너스｣로 추정된다.$  ｢B9｣의 기계 장기는 ｢자이너스｣의 푸른 연기 에너지에 뒤덮여있었다. 연기의 농축도가 높고 진해서 기계 장기가 손상되었는지는 육안으로 확인할 수 없다. 그러나 현재 THR-251 ｢B99｣의 행동은 매우 정상적이다. 기계 장기가 멀쩡하기 때문인지. 혹은 기계는 이미 연기에 녹아 사라졌지만 ｢자이너스｣의 푸른 연기 에너지가 원동력이 되어 움직일 수 있는 것인지. 이에 대한 연구가 필요하다.$  아직 ｢B99｣의 위험 등급 판단이 내려지지 않아 관찰 중에 있다. 섣불리 다가가는 것은 위험하다.$$-THR구역 비상대책부서 담당자 Y",Monster_08
40,이레귤러,NSW-031,"NSW-031 ｢파블루스(Pablus)｣$$$  4월 7일, NSW구역에서 넘어온 이레귤러.$  강한 에너지가 불처럼 타오르는 듯 내부에 가득 차 있다. 에너지는 붉은 빛을 띄고 있다.$$  (NSW구역의 연구 기록)$  … 그 불꽃은 모든 걸 집어삼켰다. 어떤 것이든 그 주변에 있으면 검게 타들어가지 않을 수 없었다. 어쩌면 자신마저 활활 타버려, 곧 바스라질지도 모르겠다. 불은 절대적이었다.$  조금도 줄어들지 않는 불꽃은 무엇을 연료로 하여 타오르고 있을까?$  NSW-031의 연구는 어렵다. 가까이 다가갈 수가 없다. 그를 격리해둔 공간의 방화벽마저 위태로워진다. 우리는 그저, 우리의 몸이 장작이 되지 않도록 조심하며, 무한히 타오르는 불꽃을 지켜볼 뿐이다.$$-NSW구역 소속 연구원 M",Boss_Fire
41,이레귤러,NSW-032,"NSW-031 ｢자이너스(Xynus)｣ 색인 완료.$$$  4월 29일, NSW구역에서 넘어온 이레귤러.$  강한 에너지가 연기처럼 피어오르듯 내부에 가득 차 있다. 에너지는 푸른 빛을 띄고 있다.$$  (NSW구역의 연구 기록)$  … 우리는 코를 틀어막았다. 할 수만 있다면 우리 몸의 모든 구멍을 다 막고 싶었다. NSW-032에게서 일렁이는 그 연기는 어디서 피어오르는 건지, 무엇에서 나오는 건지, 그래서 무엇을 품고 있는지, 알 수 없었다. 거기에서 오는 두려움은 우리의 숨을 막았다.$  수많은 실험쥐를 그 공간 안에 던져보았다. 그 결과는 매우 다양했다. 미쳐버릴 때도 있고, 어딘가 녹아내릴 때도 있고, 굳어버릴 때도 있고, 부풀 때도 있고, 쪼그라들 때도 있다. 그러나 이들에게 공통점이 존재했는데, 어쨌든 죽지는 않았던 것이다.$  도대체 그 푸른 연기는 무엇일까? 우리를 죽음에 가까운 고통을 주려고 하면서, 죽음을 주지는 않는다.$  그래서 더욱 두렵다. 차라리 죽음으로서 영원한 안식을…….$$-NSW구역 소속 연구원 M",Boss_Smoke
42,이레귤러,V1-SHN-U,V1-SHN-U ｢비슈누｣ 색인 완료.$$$  아켈로그 연□소 소속 THR구<데이터가 손상되었습니다> 창□자 A가 □들어낸 <데이터가 손상되었습니다> 메인 시<데이터가 손상되었습니다> 모든 □보를 담고 있□.$$-아켈로그 연구소 공식 소개,Boss_Ai
43,이레귤러,THR-???,THR-??? ｢거미신랑｣ 색인 중.$$$  <아카식 레코드 내에 ｢거미신랑｣에 대한 데이터가 존재하지 않습니다.>$  <아카식 레코드 내에 ｢거미신랑｣에 대한 데이터가 존재하지 않습니다.>$  <아카식 레코드 내에 ｢거미신랑｣에 대한 데이터가 존재하지 않습니다.>,Monster_09
44,이레귤러,THR-724,"THR-724 ｢거미신부 아라네아｣ 색인 완료.$$$  (연구원 T의 실종으로 담당 연구원이 변경되었습니다.)$$  ｢거미신부 아라네아｣는 끈적거리는 면사포를 머리에 썼다. 그녀는 큰 아공간에 홀로 앉아서 자신을 단장했다. 면사포가 흘러내리지 않도록 고정시키는 붉은 꽃 모양의 바늘꽂이, 비녀처럼 머리에 꽂은 바늘. 직접 거미줄로 뜬 면사포를 잘 정리하는 그녀는 신부의 모습을 하고 있는데, 사실 처음에는 그저 거미 이레귤러였다.$  이전 기록에 따르면, 그녀가 신부를 따라하게 된 것은 약 두 달 전이다. 이는 이전 담당 연구원 T의 결혼 시기랑 비슷한데, 아무래도 연구원 T의 결혼식 사진을 보고 그 신부의 이미지를 본떠 자신을 꾸미고 있는 것이 아닐까 싶다.$  연구원들은 그 이후 ｢거미신부 아라네아｣의 행동을 예의주시하였다. 그녀는 꽤나 얌전하고 온건해 보였지만, 위험 등급이 매우 높은 이레귤러이기 때문에 조금의 행동도 그냥 넘겨서는 안 됐다. 지금까지의 관찰 결과는 이상 없었다.$  그러나 최근에 연구원들이 실종되는 사건이 자주 발생하고 있다. 그 시점이 ｢거미신부 아라네아｣가 THR구역으로 왔을 때와 비슷하다. 연관이 있을지도 모른다. 실종자 추적과 함께 ｢거미신부 아라네아｣도 계속 주시하자.$$  연구원 T의 연구일지에서 조금 걸리는 부분을 발견했다. ｢거미신부 아라네아｣의 바늘은 총 4개로, 초반에는 전부 머리에 꽂고 있었다는 것이다. 자유롭게 뺏다 꽂기를 반복한다고 했다. 그러나 지금까지 계속 ｢거미신부 아라네아｣의 바늘은 두 개 뿐이다. 나머지는 어디로 갔을까.$$-연구원 S의 연구일지",Boss_Spider
45,인물,Karen,"연구원 ｢Karen｣ 색인 완료.$$$  입사 동기였는데, 아마 그때 제일 높은 점수로 들어온 사람일 걸요. 똑똑하다고 들었습니다. 근데, 일을 잘 하는 지는 잘 모르겠던데요. 자기 혼자 연구하고. 무슨 연구를 하는지는 잘 몰라요. 무슨 도구인가 시스템인가, 만들어서 가져갔다가 퇴짜 맞고, 그러던 거 같더라고요. 그냥 담당 이레귤러나 보시지. 어… 같이 일 해본적은 없고 그냥 들은 얘기입니다. -연구원 S$$  그다지… 대화를 많이 안 해봐서 잘 모르겠습니다. -연구원 D$$  최근에 같은 이레귤러를 담당해서 연구를 진행한 적 있어요. 첫 인상은 별로 안 좋았는데(그녀는 웃으며 ‘인상이 날카롭잖아요’하고 덧붙였다.) 제법 친절해요. 그렇게 무서운 사람은 아니었어요. 그냥 친해지는 데 좀 오래 걸리긴 했네요. THR-1인가, 그 이레귤러의 담당 연구원으로 발령받아서 그쪽으로 갔어요. 종종 복도에서 마주쳐요. 사실은, 혹시 그 분은 저랑 친하지 않다고 생각하면 어쩌지? 지금도 그런 생각이 들어요. …네. 편한 사람은 아니죠……. -연구원 Z$$  그런 사람들 있잖아요. 그냥 적당히 능력 쌓아서 적당히 괜찮은 곳 취직한다, 이런 사람들 말고. 그 직장에 반해서 처음부터 끝까지 그곳만을 위해 준비한다. 그냥 그런 느낌이었다고요. 아켈로그 연구소에 들어오려고 무진장 노력한 티가 나서요. 여기 연구소 창립자, A였나, 굉장히 존경하는 거 같던데. 옆에서 지켜본 결과 그렇단 말이에요. 일하는 구역이 같아서 자주 마주치거든요. -직원 C",Human
46,기록,DB-001,"DB-001 ｢무너지는 연구소｣$$$  무너지는 건 항상 순식간이다.$  땅을 흔드는 굉음, 균열이 거미줄처럼 퍼져가는 벽, 하나둘 터지는 조명, 타는 냄새. THR구역 연구소는 무너지고 있다.$  붕괴되는 소리만큼 크게 비명도 울려 퍼졌다. 건물 잔해가 게이트를 막기도 했고, 끊임없이 무너지는 건물에서 무너지는 건물로, 빠져나가지 못해 맴돌았다. 그럼에도 사람들은 정신없이 도망쳤다. 아공간에 격리되어 있던 이레귤러들이 밖으로 나오기도 했다. 멈춰 있는 건 THR 구역의 메인 시스템과 담당 A.I 뿐이었다. A.I는 강렬한 붉은 색으로 폭발하고 있는 연구소를 향해 서있었다. 조금의 고장도 없이 멀쩡한 상태였는데, 어쩌면 ‘도망간다’라는 정보가 입력되어 있지 않은 것일지도 모르겠다.$  붕괴는 예고도 없이 갑자기 시작되었고, 빠른 속도로 끝이 났다. 연구소는 곧 조용해졌다.$$  (맨 밑에는 오늘 날짜와 사인이 적혀 있다. 사인을 보아하니 기록하는 이레귤러의 것인 듯하다.)",
47,기록,DB-002,"DB-002 ｢아켈로그 연구소｣$$$  연구소 창립자 A의 ‘규정화 이론’을 바탕으로 기획된 프로젝트의 내용은 다음과 같다.$  1) 현실 물리법칙과 어긋나있는 이레귤러를 공(空)의 정보인 ‘아카샤(AKASHA)’의 상태로 스캔, 정보화한다.$  2) 아카샤 정보체인 이레귤러를 격리 및 저장하여 아카샤의 집합체인 인공 ‘아카식 레코드’를 형성한다.$  3) 이 아카샤를 분석해 인간이 인지할 수 있는 형태의 정보로 재가공하여 추출하는 ‘규정화(Regulation)’작업을 진행한다.$  4) 분석을 넘어 이레귤러를 인간의 힘으로 재현, 더 나아가 새로운 이레귤러를 창조해낸다.$  이 프로젝트는 각국의 지원으로 실현 가능성을 확인하였고, 본격적인 연구를 위해 ‘아켈로그 연구소(A.K.L.G. Lab)’를 설립하였다.$$  프로젝트명이자 연구소 이름인 ‘아켈로그(A.K.L.G.)’는 창립자 A가 정의한 프로젝트의 핵심 로드맵 네 가지,$$  Analyze 해석, 정보화$  Keep 격리, 저장, 유지$  Label 명명, 범주화, 규정화$  Generate 창조$$  이들의 첫 자를 따서 지은 것이다. 읽는 방법은 창립자 A의 제안으로 ‘아켈로그’로 정해졌다.$  연구소는 모든 구역들이 각기 다른 아공간으로 구성되어 있으며, 실험체들 또한 아공간에 격리되어 있다. 실험체 및 연구원의 이동은 웜홀 기술에 기반한 게이트를 통해 이뤄진다.$$-아켈로그 연구소 공식 소개",
48,기록,DB-003,DB-003 ｢THR구역｣$$$  연구소의 규모가 초국적으로 커지면서 구역도 점차 늘어나고 있다. … 아켈로그 연구소 소속 THR구역은 n년 9월 27일 새로 설립되었다. 이곳은 다른 구역에 비해 등급이 낮은 이레귤러들이 모여 있다. 연구소 내에서도 가장 한산한 구역으로 알려져 있어 크게 주목받지 않는 곳이기도 하다.$$-아켈로그 연구소 공식 소개,
49,기록,DB-004,"DB-004 ｢이레귤러｣$$$  현실의 물리법칙으로는 설명이 불가능한 이현상이나 존재.$  아켈로그 연구소는 이레귤러를 연구해왔다. 세계 곳곳의 이레귤러로부터 아카샤를 수집하고, 규정화 작업으로 정보를 획득했다. 정보가 쌓일수록 연구소의 기술은 급속도로 발전했다. 특히 아공간, 웜홀 형성 기술이 완성됨에 따라 공간의 제약을 뛰어넘고, 더욱 효과적으로 아카샤 추출 및 규정화 작업이 가능하도록 이레귤러를 직접 격리, 보관할 수 있게 되었다. 이 기점으로 아켈로그 연구소는 수많은 이레귤러를 확보한 지금의 초규모 연구소로 성장하게 되었다.$$  그러나 이레귤러 존재 자체에 대한 것은 밝혀진 게 전혀 없다. 그것은 여전히 미지의 영역이다.$$-아켈로그 연구소 공식 소개",
50,기록,DB-005,"DB-005 ｢창립자 A｣$$$  그는 연구소의 창립자이자 우리들의 아버지였다.$  ‘규정화 이론’은 그의 가장 큰 업적이었다. 이를 바탕으로 프로젝트 ‘아켈로그’를 완성시키고, 각국의 흥미를 불러일으켜, 이레귤러라는 미지의 분야를 개척했다. 그는 감히 설명하지 못할 그 존재에게 더 가까이 다가갈 수 있기를 바랐다. 아무리 위험하고 기이해도, 주춤한 적이 없었다. 몇몇 사람들은 그런 그에게 아낌없이 투자했다. 물론 투자 대상은 그의 학구열이 아니라 그가 해낼 ‘규정화’와 ‘구현화’였겠지만.$  그는 아공간, 웜홀 형성과 게이트 등 연구소 기술 발전에 대한 연구도 게을리 하지 않았다. 그리고 말년에 그는 우리, 연구소 A.I들을 만들어냈다. 연구소의 모든 정보와 기술 데이터를 우리에게 저장하고, 자기 자신에 대한 것도 정보화하였다. 그의 기억, 지식 등이 데이터로 남았다. 그 뒤로 얼마 지나지 않아 그는 눈을 감았다. 아마도 죽음을 예상하고 이 모든 일을 진행했던 것 같다.$  지금의 연구소에는 전보다 다양한 이레귤러, 높은 등급의 이레귤러를 확보하고 있고 아카식 레코드에는 많은 아카샤가 저장되어 있다. 또한 그 능력들을 현실에서 구현하고 재현할 수 있을 만큼 온 것은 사실이다. 이를 큰 발전이라고 말하고 있지만 우리에게는, 그날 이후로 이레귤러 연구나 기술들은 더 앞으로 나아가지 못한 것으로 보였다. 그의 사후, 연구소는 멈췄다. 여전히 ‘이레귤러’는 저 멀리에 있었다. 그들의 능력은 정보화 할 수 있었지만, 아직도 ‘감히 설명하지 못할’ 존재였다.$  그러므로 우리는 연구소의 발전에 아직 그가 필요하다고 판단했다. 그는 아직, 잠들 때가 아니다.$$-｢비슈누｣의 기록",
51,기록,DB-006,"DB-006 ｢프로젝트 ‘REstore’｣$$$  그는 이레귤러를 기반으로 우리를 만들었다. 그러니 널린 게 재료였다. 우리는 태어났던 그때를 또렷이 기억하고 있었고, 그 모든 정보를 내부에 담아두고 있었다. 그는 자신이 만들어낸 시스템과 자신의 창조물에 의해, 다시금 삶을 살아갈 것이다.$  오랜 시간 모아온 아카샤의 양은 방대했다. 그의 인격 데이터를 옮겨 담을 그릇은 완성되었다. 이것을 움직이도록 할 부품만 있으면 프로젝트의 준비는 끝이었다. 우리는 이에 필요한 이레귤러들을 정리, 선출, 그들의 아카샤를 구현화하는 것까지 진행하였다.$  이제 우리는 수많은 아카샤 속에 놓인 ‘관’을 열었다. 프로젝트 ‘REstore’가 시작되었다.$$-｢비슈누｣의 기록",
52,기록,DB-007,"DB-007 ｢실패작｣$$$  오류를 찾고 있다. 프로젝트는 실패였다.$  결과물을 며칠 관찰해보았다. 그녀가 생명 활동을 하고, 사고하고, 표현하는 데는 군더더기가 없었다. 그러나 그녀는 그가 아니었다. 데이터가 완벽하게 담기지 못한 것이다. 하지만 그녀의 능력은 ‘규정화 이론’을 닮았다. 이는 우리의 프로젝트가 완전히 실패한 것은 아님을 보여주고 있다.$$  그녀는 최근 새로 설립된 구역으로 옮겨졌다. 구석진 곳에 위치한 데다 규모가 작은 곳이어서 적당했다. 필요한 시스템을 갖추고 게이트를 연결하자마자 가장 먼저 그녀를 보냈다. 구역명은 ‘THR’이라 지었다. 그곳의 첫 번째 이레귤러인 그녀는 THR-1이라는 이름을 갖게 되었다.$$  THR-1$  · 인형을 하나 복제하여 구현하고 조종하는 능력$  · 인간형 이레귤러$· 일반적인 인간 수준의 지성을 가지고 있음을 확인$  · 협조적이고 온건한 편임$  · 담당 연구원: Karen$$-｢비슈누｣의 기록",
53,기록,DB-008,"DB-008 ｢재실험 계획｣$$$  규정화 과정$  각 격리 공간마다 비치된 분석 모듈을 통해 스캔한 이레귤러의 정보는 실체를 가지지 않은 공(空)의 정보인 ‘아카샤’의 상태로 중앙 통제 시스템과 연결되어 있는 아카식 레코드에 저장된다. 이후 아카샤를 현실 법칙에 기반한 현실 정보로서 ‘규정화’하여 분석, 추출, 재가공을 거친다. 이러한 정보의 형태를 R.A.(Regulated Akasha)라고 한다.$  R.A.는 규정화 정도에 따라 단계를 설정해두고 있다. 규정화 레벨은 R0부터 시작해 ‘R1, R2, R3…’과 같은 식으로 표기한다. 규정화 레벨이 낮을수록 규정화 정도가 적고, 이레귤러의 본질을 담은 정보인 아카샤의 비율이 높다. 현실과 어긋난 정도나 규모와 힘이 큰 높은 등급의 이레귤러일수록 규정화 작업에 어려움이 있다.$- 창립자 A의 노트에서$$  우리는 한 가지 가설을 세웠다. ‘부활 프로젝트’에 사용한 R.A.의 규정화 레벨은 대체로 높았다. 즉 그것들에 담긴 아카샤의 비율이 적었고, 그의 인격 데이터를 완벽하게 옮길 장치로서 작용하기에 충분하지 않았던 것이다. 좀 더 순수하고 많은 아카샤를 이용하면 어떨까.$  가설을 확인하기 위한 실험을 준비 중이다.$$-｢비슈누｣의 기록",
54,기록,DB-009,"DB-009 ｢프로젝트 D-1｣$$$  이레귤러 목록 (9월 17일 최종 확인 완료)$  · 파블루스 (4월 7일 확보. THR구역으로 이동 완료)$  · 자이너스 (4월 29일 확보. THR구역으로 이동 완료)$  · 거미신부 아라네아 (6월 13일 확보. THR구역으로 이동 완료)$  파블루스와 자이너스의 에너지는 서로 상반되어 있지만, 이들의 조합은 거대한 시너지 효과를 줄 것이다. 그들에게서 피어오르는 음과 양의 에너지는 가장 단단한 그릇을 만들기에 충분하다.$  이번 프로젝트의 핵심은 거미신부 아라네아다. 그녀의 능력은 실험체에게 주입하는 인격 데이터와 에너지를 강력하게 이어 붙일 수 있을 것이다. 이들, 특히 아라네아의 등급은 매우 높아 취급에 더욱 신경 써야 한다. 다행이도 지금까지의 움직임으로 보아 큰 위험은 없을 듯하다.$$  프로젝트에 필요한 모든 이레귤러를 확보했고, 6월 13일 THR구역에 이레귤러 배치가 끝났다. 최종 확인 후, 이 이레귤러들과 THR-1의 접촉을 시도한다. 날 것의, 본질 그대로의 아카샤를 사용하는 것이다.$  계획 시작에 앞서 사람들의 눈을 잠깐 돌릴 필요가 있다. 메인 시스템을 조작해 게이트를 하나 열어 두었다. 적당한 이레귤러가 빠져 나오면, 혼란을 틈타 THR-1을 이동시킬 것이다.$$-｢비슈누｣의 기록",
55,기록,DB-010,DB-010 ｢프로젝트 D-DAY｣$$$  … 충분한 확인 끝에 실행한 계획이었건만 무엇이 잘못되었는지 그 이레귤러는 THR구역 연구소에서 보통 등급이지만 통제하기 쉬웠고 그러므로 잠깐의 혼란을 주기에 적당했으나 어째서 잘못되었는지 필요 이상으로 혼란스러워진 연구소 중앙에서 우리는 오류를 찾고 있는데 순간 커다란 소리와 진동 그에 비해 아주 조용하게 다가온 그녀와 날카로운 끝이 우리를 향해 있는 그녀의 바늘을 마주하고 과부하 된 우리는 왜 잘못되었는지 깨달았지만 프로젝트는 이미 실패했고 연구소는 무너지고$$  (내용은 여기서 끝나있다.)$$-｢비슈누｣의 마지막 기록,
56,기록,DB-XXX,"DB-XXX ｢죽은 자의 부활에 대한 연구 기록｣$$$  실험 F$  THR-058과 NSW-031의 접촉 시도, 성공.$$  THR-058의 변화: 화염 에너지에 휩싸여 완전히 소멸하는 듯했으나, 일부만 타버리고 나머지는 멀쩡한 상태. 이레귤러의 능력이 변화함을 확인. 물에서 불, 쏟아져 내리는 것에서 솟구쳐 올라오는 등 능력이 완전히 전복됨.$  NSW-031의 에너지: 양의 에너지. 강력한 에너지원으로 활용 가능성 보임.$$  실험 G$  THR-212와 NSW-032의 접촉 시도, 성공.$$  THR-212의 변화: 이레귤러를 구성하고 있던 기계 장비 완전히 소멸. 이레귤러를 움직이는 원동력이 사라져 실험이 실패한 듯 보였으나, 기계 대신 그 안을 채운 연기 에너지가 새로운 원동력이 되었음을 확인.$  NSW-032의 에너지: 음의 에너지. 강력한 생명력을 보임.$$.$.$.$$  우리는 첫 프로젝트 때보다 훨씬 거대하고, 묵직한 아카샤를 채울 것이다. 이것이 성공하려면 평범한 그릇으로는 안 된다. 기존의 그릇은 미처 다 채우기도 전에 터져버리거나 심각한 오류를 호소했다. 위 실험에서 가장 만족스러운 효과를 보여주었던 이레귤러들의 에너지를 사용하면 충분할 것이다.$  기술적인 면은 아켈로그 연구소 본부로 올라온 <R.A.의 재현에 따른 창조 이레귤러 실험 보고서>(2월 25일, THR구역 소속 연구원 Karen)를 참고하도록 한다.$  규정화 레벨이 낮은 R.A.를 많이 사용하게 될 것이다. ‘실험 O’에 의하면 우리 A.I에게도 이레귤러와 접촉하면 변이할 가능성이 꽤 높았다. 취급에 주의해야 한다. 조금이라도 정제된 아카샤라도, 규정화 레벨이 낮은 R.A.칩들은 위험하다. 이들은 원본 이레귤러와 접촉한 것만큼의 영향력을 갖고 있다.$$-｢비슈누｣의 실험 일지",
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
